level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.30540792216822893,0.2673356489029522,0.34599218318489183,955
leaf,object_attributes,0.6071548491191348,0.48396780426914354,0.721358418367347,192
leaf,object_identification,0.06271469992057259,0.03696947351526241,0.09004888103884004,866
leaf,spatial_localization_camera,0.42961990157368307,0.3157534472122182,0.539058002571658,213
leaf,spatial_localization_situs,0.7142857142857143,0.47619047619047616,0.9047619047619048,26
group,aggregation,0.30540792216822893,0.26535528224321747,0.3479864386955162,955
group,object_recognition,0.2160980902229181,0.1747474455294623,0.2577437284745276,1297
answer_format,binary,0.4038359788359788,0.30620480599647265,0.5048511904761905,176
answer_format,fo_class,0.06629867549523497,0.04142496105550506,0.09494305192986627,920
answer_format,multiple_choice,0.7793040293040292,0.6149114774114774,0.9203334859584859,90
answer_format,number,0.27985496277405736,0.2340627524899409,0.3273896072483791,768
answer_format,open_ended,0.5055336994937836,0.40495525198715854,0.5972243319676355,298
overall,MEAN,0.26206459435626106,0.2353709215167549,0.2913293650793651,2252
pre_evaluation,SCORE,0.2674839642025294,,,2
