level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.33025755548639196,0.26081287209467485,0.41308510540694354,1875
leaf,object_attributes,0.5625,0.2552083333333333,0.8333333333333333,21
leaf,object_identification,0.12388984122683874,0.08846895256009833,0.1618213109920373,1591
leaf,spatial_localization_camera,0.24228989845780222,0.15153220931878417,0.35135602226872703,427
leaf,spatial_localization_situs,0.11011904761904762,0.010416666666666666,0.2440755208333333,86
group,aggregation,0.33025755548639196,0.25589914126290286,0.4071856890688211,1875
group,object_recognition,0.15044629163902887,0.11046886750015122,0.19092547924293504,2125
answer_format,binary,0.5916898014266435,0.47584335675289624,0.7293440528769477,548
answer_format,fo_class,0.1299557778260922,0.0906462182692091,0.16969796669298465,1755
answer_format,multiple_choice,0.2921327975091416,0.13497610513739544,0.46639422902863753,112
answer_format,number,0.21994708909826688,0.1555311513305468,0.3028526262405186,1326
answer_format,open_ended,0.23837576515165654,0.13780619649168038,0.3544432387787651,259
overall,MEAN,0.23525000000000001,0.1894875,0.28851249999999995,4000
pre_evaluation,SCORE,0.2407372549019608,,,2
