level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.28112816534591445,0.21754714879892276,0.3619516436218148,1875
leaf,object_attributes,0.5260416666666666,0.21861979166666667,0.8023437499999997,21
leaf,object_identification,0.14859368625315783,0.11064078315209908,0.19393713650580502,1591
leaf,spatial_localization_camera,0.34935043765374785,0.23154959281912715,0.4812649806554474,427
leaf,spatial_localization_situs,0.13532686781609193,0.015625,0.3065864249794745,86
group,aggregation,0.28112816534591445,0.21519343610262887,0.3562501747333104,1875
group,object_recognition,0.19268642797419763,0.14880289265809368,0.2365344746163123,2125
answer_format,binary,0.5188207625707627,0.41249045033913456,0.6425806342780027,548
answer_format,fo_class,0.14874071648374104,0.10740990045216209,0.18854767045449944,1755
answer_format,multiple_choice,0.4580210709242967,0.26320869990224827,0.6527384055609861,112
answer_format,number,0.18396511152673817,0.12681446066975166,0.2527945479294947,1326
answer_format,open_ended,0.4118784644896699,0.2798959548798683,0.5368114603845504,259
overall,MEAN,0.23525000000000004,0.1925,0.2797625,4000
pre_evaluation,SCORE,0.2378823529411765,,,2
