level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.4472106234905998,0.398554242229744,0.4966036343660181,955
leaf,object_attributes,0.6251324568288854,0.5102601850034886,0.7392362882653061,192
leaf,object_identification,0.6370434243637133,0.5733852148892503,0.6969521090682871,866
leaf,spatial_localization_camera,0.7411515188826113,0.6453532317647339,0.8393431231758437,213
leaf,spatial_localization_situs,0.7738095238095237,0.5592261904761905,0.9523809523809523,26
group,aggregation,0.4472106234905998,0.3993727747216077,0.4991315365166286,955
group,object_recognition,0.6526495527402751,0.600322336975544,0.6981688702485822,1297
answer_format,binary,0.7916225749559084,0.7079794973544974,0.8760747354497355,176
answer_format,fo_class,0.6337812735155313,0.5718797586241644,0.6888236870855274,920
answer_format,multiple_choice,0.9036935286935287,0.8024801587301588,0.9821428571428571,90
answer_format,number,0.3715911845562343,0.31677321043545004,0.4236914333009224,768
answer_format,open_ended,0.6366043824289623,0.5539161649508288,0.7183959693288738,298
overall,MEAN,0.5630015432098766,0.5247795414462081,0.6057739473104056,2252
pre_evaluation,SCORE,0.5477699241503753,,,2
