level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.5708958989807809,0.5027200639044452,0.6296727458875694,1875
leaf,object_attributes,0.734375,0.4583333333333333,0.96875,21
leaf,object_identification,0.6962265954667318,0.5926397867609424,0.7893086080054362,1591
leaf,spatial_localization_camera,0.6618575028311017,0.5711176142938832,0.7398978083076697,427
leaf,spatial_localization_situs,0.6642549261083743,0.4406429597701149,0.8817243303571428,86
group,aggregation,0.5708958989807809,0.5016372791544409,0.6291661489965539,1875
group,object_recognition,0.6808198900314408,0.5899796602445373,0.7660071399518713,2125
answer_format,binary,0.7640469837180361,0.6778721519708363,0.8339431226668068,548
answer_format,fo_class,0.6854437321306331,0.5920828633940827,0.7746854951849671,1755
answer_format,multiple_choice,0.782822852177691,0.5986420658194852,0.9528076463560335,112
answer_format,number,0.4936000113629736,0.420533550661104,0.5612208931424814,1326
answer_format,open_ended,0.6252421042454999,0.5148593038681749,0.7336222238288027,259
overall,MEAN,0.616,0.5492312500000001,0.6735125,4000
pre_evaluation,SCORE,0.6129882352941176,,,2
