level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.4032866883538243,0.35715947045311636,0.45016079751172966,955
leaf,object_attributes,0.6116420286063144,0.4951390796703296,0.736541159733124,192
leaf,object_identification,0.4891421780874506,0.43578882841634536,0.5404621221248667,866
leaf,spatial_localization_camera,0.6330303741543236,0.5307106768989649,0.7353111595745524,213
leaf,spatial_localization_situs,0.2619047619047619,0.07113095238095239,0.5,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.4032866883538243,0.3574426931489971,0.45458404338456027,955
group,object_recognition,0.5233169945601542,0.48036344887384225,0.5662308344218607,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.7558201058201058,0.6665255731922398,0.838860229276896,176
answer_format,fo_class,0.48912402535814536,0.43475106908765393,0.5441521558315641,920
answer_format,multiple_choice,0.74496336996337,0.5689789377289377,0.8811164529914529,90
answer_format,number,0.32541598709573977,0.283818523115176,0.3715220623355933,768
answer_format,open_ended,0.560252953162617,0.4695860370663416,0.6475621476737549,298
overall,MEAN,0.46750992063492064,0.4308447696208113,0.5026156029541445,2252
pre_evaluation,SCORE,0.6387162540667486,,,3
