level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.15641845928049314,0.1205120812089467,0.19125952039860836,955
leaf,object_attributes,0.5764194139194139,0.4627318675867783,0.6829397784754927,192
leaf,object_identification,0.17230481186435984,0.13213404215541086,0.2155190171536709,866
leaf,spatial_localization_camera,0.34241058894420234,0.239030291603821,0.4424035618035092,213
leaf,spatial_localization_situs,0.5952380952380951,0.3452380952380953,0.8336309523809521,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.15641845928049314,0.12091220036430621,0.19673133949454535,955
group,object_recognition,0.2648224764516831,0.22821866615122172,0.3041241377115878,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.4816137566137566,0.39104497354497353,0.5764638447971782,176
answer_format,fo_class,0.18107284420248723,0.13820708963703301,0.22644033856784831,920
answer_format,multiple_choice,0.6424646781789638,0.47679716117216114,0.7800453514739228,90
answer_format,number,0.0830111004880295,0.05092349791439537,0.11779016441621494,768
answer_format,open_ended,0.4170498648177218,0.34071126993921114,0.5003398452183904,298
overall,MEAN,0.2193452380952381,0.19054081238977075,0.24971092372134035,2252
pre_evaluation,SCORE,0.47354216491069306,,,3
