level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.17363058464554432,0.139611819470513,0.20929424778576386,955
leaf,object_attributes,0.5495295874760161,0.4297526654892727,0.6612779903628118,192
leaf,object_identification,0.17228461097100176,0.13036590992043262,0.21820207617751097,866
leaf,spatial_localization_camera,0.22291239339558663,0.14186279654635747,0.30805267532420894,213
leaf,spatial_localization_situs,0.4523809523809524,0.20238095238095238,0.6904761904761905,26
group,aggregation,0.17363058464554432,0.1409426734439155,0.21119784766369323,955
group,object_recognition,0.23927736720693432,0.19788998981002706,0.2829411351046778,1297
answer_format,binary,0.535405643738977,0.4345557760141094,0.6334898589065255,176
answer_format,fo_class,0.17810427651349142,0.13371962793062367,0.22416522553619625,920
answer_format,multiple_choice,0.4290075004360718,0.27790532879818597,0.5759811616954473,90
answer_format,number,0.09569647216580979,0.0609799784481578,0.13387625040788226,768
answer_format,open_ended,0.3519065522479388,0.28314029086284864,0.4285687858330977,298
overall,MEAN,0.21133156966490296,0.18269138558201056,0.2409448026895943,2252
pre_evaluation,SCORE,0.2060033827560177,,,2
