level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.16809789627313468,0.13021653659757815,0.20538264187549993,955
leaf,object_attributes,0.5701923076923077,0.44551123975231116,0.6822992570425607,192
leaf,object_identification,0.16765952266363557,0.12446679961086793,0.21182131018555309,866
leaf,spatial_localization_camera,0.3503242672360319,0.2626517273576097,0.45122831825037707,213
leaf,spatial_localization_situs,0.6904761904761905,0.4642857142857143,0.8928571428571429,25
leaf,temporal_localization,1.0,1.0,1.0,1
group,aggregation,0.16809789627313468,0.1306792134668525,0.2131167789912285,955
group,object_recognition,0.26028993949772977,0.22323120754791653,0.3000624729395289,1296
group,temporal_grounding,1.0,1.0,1.0,1
answer_format,binary,0.4723544973544974,0.3731448412698412,0.5689208553791887,176
answer_format,fo_class,0.17388155861164495,0.12996025772677045,0.22026819293067607,920
answer_format,multiple_choice,0.6262864120006978,0.47385912698412697,0.7721301020408163,90
answer_format,number,0.09798598612993195,0.058549717270421436,0.1408202784936865,768
answer_format,open_ended,0.4275179302490226,0.3483919269193691,0.5152815548567911,298
overall,MEAN,0.21937830687830687,0.19169711750440915,0.2495651455026455,2252
pre_evaluation,SCORE,0.4743687113524228,,,3
