level,name,accuracy,ci_low,ci_high,count
leaf,object_aggregation,0.31205657534119596,0.23334838277263265,0.4042237629682943,1875
leaf,object_attributes,0.4375,0.16666666666666666,0.7083333333333333,21
leaf,object_identification,0.10497223593109148,0.07631770941552117,0.1361748014259743,1591
leaf,spatial_localization_camera,0.34465732476492517,0.2191574520318558,0.49382615122942486,427
leaf,spatial_localization_situs,0.12267805829228243,0.017241379310344827,0.2608037638546798,86
group,aggregation,0.31205657534119596,0.23203443306686117,0.40001544474437833,1875
group,object_recognition,0.1571658226954589,0.11413998338605373,0.20256183784463197,2125
answer_format,binary,0.536599606533817,0.4142007000674764,0.6792180845470319,548
answer_format,fo_class,0.10346679715987099,0.0697577876036478,0.13664162665544194,1755
answer_format,multiple_choice,0.573802541544477,0.3583034647550776,0.7723962293182723,112
answer_format,number,0.22000859008398016,0.15323753477044863,0.3074463719831156,1326
answer_format,open_ended,0.38552987759269597,0.261661232627022,0.514233011922995,259
overall,MEAN,0.23425,0.17973125,0.2912625,4000
pre_evaluation,SCORE,0.23901176470588234,,,2
